area,question,evidence_expected,evidences,existing_policy,covers_ai,gap,severity,action,owner,due
AI policy,Is there an approved AI policy that names who decides and how rules are enforced?,Approved ai-policy with version and owner,ISO/IEC 42001 5.2; NIST AI RMF GOVERN 1.2,,,,,,,
AI policy,Is each policy rule enforced by a gate or engine rule and not only stated?,Policy cards and engine verdicts in the evidence store,ISO/IEC 42001 A.2; NIST AI RMF GOVERN 1.4,,,,,,,
Inventory,Is there a register of AI systems and agents with owners and expiry dates?,Register entries; reconciliation against what runs,EU AI Act Art. 49; NIST AI RMF GOVERN 1.6,,,,,,,
Acceptable use,Does the acceptable-use policy say which generative AI tools staff may use and with which data classes?,Acceptable-use policy; approved tool list; attestations in training records,ISO/IEC 42001 A.9; ISO/IEC 42001 7.3,,,,,,,
Acceptable use,Is use of unapproved tools detected?,Gateway or discovery evidence records,ISO/IEC 42001 A.9,,,,,,,
Privacy,Does the DPIA procedure cover AI-specific processing (training data; inferences; memorisation; automated decisions)?,DPIA addendum template in use,GDPR Art. 35; GDPR Art. 22,,,,,,,
Privacy,Is the lawful basis recorded per dataset and per purpose?,Dataset cards with lawful_basis,GDPR Art. 6; EU AI Act Art. 10,,,,,,,
Security,Does the security policy cover prompt injection; model and data poisoning; agent identity and tool abuse?,Threat models; adversarial eval results; agent identity records,EU AI Act Art. 15; NIST AI RMF MEASURE 2.7,,,,,,,
Data governance,Is there a gate that stops undocumented data entering training; evaluation or retrieval?,Dataset admission records,EU AI Act Art. 10; ISO/IEC 42001 A.7,,,,,,,
Data governance,Are retention rules for prompts; outputs; logs and training snapshots set and enforced?,Retention rules in dataset cards; deletion evidence,GDPR Art. 5(1)(e); EU AI Act Art. 26(6),,,,,,,
IP and copyright,Is the right to use training and retrieval content (licence; text-and-data-mining reservations) checked?,Licence fields in dataset cards; supplier copyright policies,EU AI Act Art. 53(1)(c),,,,,,,
IP and copyright,Is ownership and permitted use of AI outputs addressed for staff and customers?,Output terms in contracts and in the acceptable-use policy,ISO/IEC 42001 A.10,,,,,,,
Procurement,Does procurement flag AI in products and route it to due diligence before signature?,Vendor due-diligence responses; contract clause checklist,EU AI Act Art. 25; ISO/IEC 42001 A.10,,,,,,,
Risk management,Is AI risk recorded in a register with owners; residual scores and acceptance?,Risk register entries,EU AI Act Art. 9; ISO/IEC 23894,,,,,,,
Model risk,Are models challenged independently before release at high and critical tiers?,Signed test reports; go/no-go records,NIST AI RMF MEASURE 1.3; NIST AI RMF MANAGE 1.1,,,,,,,
Incident management,Does the incident procedure cover AI incidents and the AI reporting clocks?,Incident records with reporting assessments,EU AI Act Art. 73; NIST AI RMF MANAGE 4.3,,,,,,,
Transparency,Are people told when they interact with AI or are subject to an AI-supported decision?,Notices; deployment decision records,EU AI Act Art. 50; EU AI Act Art. 26(11),,,,,,,
HR and workforce,Are workers informed before AI is used on them; and is AI in hiring or performance decisions governed?,Worker information records; impact assessments,EU AI Act Art. 26(7),,,,,,,
Training,Is there role-based AI training with records that gate access?,Training records with grants,EU AI Act Art. 4; ISO/IEC 42001 7.2,,,,,,,
Records and audit,Is evidence kept long enough and reachable by audit without interviews?,Evidence store retention settings; audit queries,EU AI Act Art. 18; ISO/IEC 42001 9.2,,,,,,,
Decommissioning,Is there a procedure to retire AI systems safely?,Decommissioning runbooks,NIST AI RMF GOVERN 1.7,,,,,,,
